track_id,cover_downloaded,preview_downloaded
0UzymivvUH5s8z4PeWZJaK,true,true
5lFDtgWsjRJu8fPOAyJIAK,true,true
3jHBgKdLCf46aP3HRI0WYv,true,true
6btyEL6NwUa97Nex9cZFvo,true,true
348NF6vX0Yh22xvH0EZEro,true,true
4O1UcKLwZ92kxNTn3u0voN,true,true
5bcTCxgc7xVfSaMV3RuVke,true,true
2oiixB9QMIzhWaHGVlQx4g,true,true
0iNZGC211wst3VjtobNnC5,true,true
4sqpSDnTrbS8v7RMNCUyqS,true,true
2iUmqdfGZcHIhS3b9E9EWq,true,true
3BtuIIrQlkujKPuWF2B85z,true,true
7nKBxz47S9SD79N086fuhn,true,true
59vIllaE2ottAAAtAiAuLt,true,true
1vBpwxsLVwaR4evBIaFmqD,true,true
6PCUP3dWmTjcTtXY02oFdT,true,true
2MbdDtCv5LUVjYy9RuGTgC,true,true
26XaOsDMbl0e1cVKYfkz6w,true,true
0tFUl3tPqBzUM2aV0gitdq,true,true
7xYnUQigPoIDAMPVK79NEq,true,true
4eZZofkV1OQ9GDqAgHqNpA,true,true
6Za3190Sbw39BBC77WSS1C,true,true
15223sfwoQj4IAJL8GSnfO,true,true
448WCkNg0QupLcngnGbKvV,true,true
44Xyja7xYPlVC6v2CeweSi,true,true
6wWaVoUOzLQJHd3bWAUpdZ,true,true
7dNwJbsT0sg1le5kVugGJb,true,true
6Qs4SXO9dwPj5GKvVOv8Ki,true,true
2RJnNdu4pb3MypbBroHU0T,true,true
4ASOMWcJUrwEpjJy4GEijz,true,true
3df4fSoW5zsdNi5Wf3K5RP,true,true
152lZdxL1OR0ZMW6KquMif,true,true
0eBryM7ePQH3Klt3jz8xZd,true,true
4VUwkH455At9kENOfzTqmF,true,true
77sMIMlNaSURUAXq5coCxE,true,true
2Eeur20xVqfUoM3Q7EFPFt,true,true
64SCQtbRtmO28ks1QhS3w5,true,true
7me5d5XmtCCfbDk3SsyXqM,true,true
5lhoo6QYhXLYbUj3QkjWN7,true,true
373gDROnujxNTFa1FojYIl,true,true
4VSg5K1hnbmIg4PwRdY6wV,true,true
1r8ZCjfrQxoy2wVaBUbpwg,true,true
2uhEKg8kIzpdvz4gyy6x8W,true,true
5GKwq4sO5ZHKuWaDmdwMQc,true,true
08MFgEQeVLF37EyZ7jcwLc,true,true
3NqBxTOMCJ3zW9CIP51td4,true,true
3GVkPk8mqxz0itaAriG1L7,true,true
2qEoAz0i6yEz5dPggABcLH,true,true
0pqnGHJpmpxLKifKRmU6WP,true,true
6uYtv0KmSNBGFfaY7yW8tY,true,true
3mTpegrOwRn0oJjv4TSbEE,true,true
1RvoRAL612adAVrPUoAMHR,true,true
5VGlqQANWDKJFl0MBG3sg2,true,true
1oen3GpTcA486fTHaT7neg,true,true
3KyKxJ4P3pVCgaZwaq2rUC,true,true
5EYZZvmNAH5VZCwuzYJqoA,true,true
7zwn1eykZtZ5LODrf7c0tS,true,true
6kdCN6gTWLcLxmLXoUcwuI,true,true
04aAxqtGp5pv12UXAg4pkq,true,true
0dkvbYmXYEPK7gGMdytmfI,true,true
1roCmBlcpV7LzsmB7pmCyt,true,true
1wtOxkiel43cVs0Yux5Q4h,true,true
1NZs6n6hl8UuMaX0UC0YTz,true,true
0N9C80kcgL0xXGduKnYKWi,true,true
0JiY190vktuhSGN6aqJdrt,true,true
1almCHdsfikRPfVB9VrEdT,true,true
3Hvg5tRKsQlX25wYwgMF9p,true,true
6or1bKJiZ06IlK0vFvY75k,true,true
3dnP0JxCgygwQH9Gm7q7nb,true,true
00UDmkyejOcUApEqpiB90i,true,true
1E16f7KcZmuXuhlenRwA2m,true,true
5k5fWendNngd89O8JKoE8L,true,true
2A0G0bPmlkUXUbvWqrAXzg,true,true
1SJtlNRJDeYHioymcvsqev,true,true
68MTDH8Kk4jBEV1ah0n89s,true,true
6K2anECyrckidwf5wxS78Q,true,true
4jAIqgrPjKLTY9Gbez25Qb,true,true
24BYTj1tb5ovZcnIbtdTYD,true,true
0XO2hckt5aHvvwH7FFdVYF,true,true
3B60AOG78SDAmK5kLozoqo,true,false
3ejjmzEsUfObGdmmQRVmM2,true,true
5eGid3rXirJcCoROMnTqg0,true,true
3oqWr0jDWNXxWufNogGREp,true,true
4NUt1fcnO9aQAELBgXq3Kr,true,true
7rpNuuoMbid56XkDsx2FjE,true,true
2d8D7uk3tbAThjRkdfrx9c,true,true
5PYQUBXc7NYeI1obMKSJK0,true,true
0ElpbbncWT9aS7mgoqEHbQ,true,true
1Ser4X0TKttOvo8bgdytTP,true,true
0uRrG2jRR5tuifsYIJHEao,true,true
5cF0dROlMOK5uNZtivgu50,true,true
26ZzSLUJMmYp5u1hDELEWH,true,true
0BCPKOYdS2jbQ8iyB56Zns,true,true
4y4spB9m0Q6026KfkAvy9Q,true,true
0fZRNhPJ4AGmwY7rkpdbqK,true,true
0h7QMc9ZRzA9QJrbEHytn2,true,true
3zK8zUmJzPAF4x1AtkxIcR,true,true
3rmo8F54jFF8OgYsqTxm5d,true,true
3CeCwYWvdfXbZLXFhBrbnf,true,true
24LS4lQShWyixJ0ZrJXfJ5,true,true
56YZft0whsresPdufFqwwS,true,true
3LI4MmibTkXH5cGpCGZgyw,true,true
0hnvQLkV7yOjslEzflJSK4,true,true
1FSWSs9CL01RCYxXtm08Rf,true,true
60iSKGrGazRzICtMjADNSM,true,true
5cDqPZ79hO8LujICezKQm0,true,true
2XU0oxnq2qxCpomAAuJY8K,true,true
1T575AhHueYinKSDflEsGK,true,true
4dVpf9jZjcORqGTLUaeYj9,true,true
3Kkjo3cT83cw09VJyrLNwX,true,true
2p8IUWQDrpjuFltbdgLOag,true,true
5MYPzdIWgx3pMLRGlq2fVq,true,true
26OhjtaTamFocE08t83ml6,true,true
6VRhkROS2SZHGlp0pxndbJ,true,true
27RSJHEA99Y0Vsow7nA37A,true,true
1DzJbVkBELu6jDu6q0T0tk,true,true
1R1ihosU2CSEaSw8e5ZF6E,true,true
1JXcB149QtbcIpDUA6YZOB,true,true
6jdwbcH788txYS6Doy1F1j,true,true
6FfLg6FFqhCsrFOaHIGkg0,true,true
7bcy34fBT2ap1L4bfPsl9q,true,true
5DoYLtsVnNMcrgpMdEPOsI,true,true
4dWY6RpM9zmYvwqxrNvwtV,true,true
5naar7XewEOAjOywIp6Jjq,true,true
14dJexYlvd3t3XAtD1pYW1,true,true
5de9Ho64dovuQI8Uhn5gPD,true,true
0CjaLvAqN97KPVWgOJ1vbD,true,true
0z3bi63SNZ5ylyHOzb81Uq,true,true
6RUKPb4LETWmmr3iAEQktW,true,true
5PjdC2gMATetx5xdnwGUu7,true,true
4sX1ehtL58WodjOP9bKZ18,true,true
3pxCXv0NACYfYnLjFcQW5D,true,true
3HeZam86SuxGp1wZ3XMIjE,true,true
35IcAVSMsU9qzHfpPbvC8A,true,true
6qPCDdlx08sKOnlLKZW6h0,true,true
5OHUTC4EvTbL0DuZQRIGGX,true,true
21pySLskKIKrhDziCX5ojQ,true,true
6sPW145Y3LSXd4p1LjBOcS,true,true
2gwZ6ZmwlmNQyRgnP8hpO8,true,true
0Qr61NXlyAeQaADO5xn3rI,true,true
70XnKsO3UnIT4FnEwChQXx,true,true
7MmVXDISr1AEsJTjNiAlMG,true,true
3B4VP6swG49n3scg2aMfA6,true,true
4d1CG5ei1E2vGbvmgf5KKv,true,true
0RnxpSzxzwZgFQ0NahQr9K,true,true
0cJTjTH3XVTTJh8F4Uq1db,true,true
0M9ydKzuF3oZTfYYPfaGX1,true,true
3zksbXteOCeSusJ5Xltr3t,true,true
240audWazVjwvwh7XwfSZE,true,true
5WHTFyqSii0lmT9R21abT8,true,true
04ZTP5KsCypmtCmQg5tH9R,true,true
6PDWMQJ55ZYrGrSx3EZzl4,true,true
2LIh4uzqq9cXMPzzmcToHl,true,true
2BlFIe0712LBUtTHxbqjme,true,true
5DhiTYpD599fu3q7fCepgL,true,true
3oL3XRtkP1WVbMxf7dtTdu,true,true
1F6qqwgyBjcIMzen8RrOXQ,true,true
1OZpgVRQKkxcoeEocqTMRZ,true,true
1wYIv0ySOwjMFWLOtrgtbo,true,true
2VWBdFsDJVGlRTdz4PvYwy,true,true
58zsLZPvfflaiIbNWoA22O,true,true
4QhWbupniDd44EDtnh2bFJ,true,true
2ECIwi1a7mfokdDkkJ08Ne,true,true
0l0CvurVUrr2w3Jj1hOVFc,true,true
3M0lSi5WW79CXQamgSBIjx,true,true
1Qrg8KqiBpW07V7PNxwwwL,true,true
0Al3wN3keprGTSgG8NBwjr,true,true
6Vh03bkEfXqekWp7Y1UBRb,true,true
7floNISpH8VF4z4459Qo18,true,true
0i5el041vd6nxrGEU8QRxy,true,true
25ypHCQpDX2nrDFly7eZLZ,true,true
0GO8y8jQk1PkHzS31d699N,true,true
0vQffWKfl0JyRqtdoZINEM,true,true
4tqcoej1zPvwePZCzuAjJd,true,true
6G8xvLFNkXy3HM5EbQI6c8,true,true
6bkTxw6m6vl8Oc3xtKBXN0,true,true
5CeL9C3bsoe4yzYS1Qz8cw,true,true
5Ohxk2dO5COHF1krpoPigN,true,true
7u2iWRkkz8GBYFe4apxVBl,true,true
0WtM2NBVQNNJLh6scP13H8,true,true
3NsqLy0x8l9VyNfOHQTNHs,true,true
1quaoU1wjFHLkDXC3bNghk,true,true
7sQKy5vlPQllr0k9IjYJv3,true,true
3vCUelLOtiuNF78p9LNWZF,true,true
36seMHoyXmLUNxcwzwjdF7,true,true
1PSBzsahR2AKwLJgx8ehBj,true,true
7CoMBpPTwQi2wPT0U0Nr9b,true,true
1pLCpA1RN8avJxSD3ZCwhj,true,true
1aXV8GrmQLvgoFtBPERP7E,true,true
